discounted_distance
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
402,35,0,1,0.0825,33.0,33.0,0.5,0
403,33,0,1,0.0775,31.0,31.0,0.5,0
404,7,0,1,0.0125,5.0,5.0,0.25,0
405,27,0,1,0.06,25.0,25.0,0.5,0
406,14,0,1,0.03,12.0,12.0,0.25,0
407,23,0,1,0.0525,21.0,21.0,0.25,0
408,42,0,1,0.1,40.0,40.0,0.5,0
409,25,0,0,0.06,24.0,24.0,0.75,0
410,39,0,0,0.0925,38.0,38.0,0.75,0
411,63,0,0,0.1525,62.0,62.0,0.75,0
412,21,0,1,0.0475,19.0,19.0,0.25,0
413,21,0,1,0.0475,19.0,19.0,0.25,0
414,10,0,1,0.02,8.0,8.0,0.25,0
415,10,0,1,0.02,8.0,8.0,0.0,0
416,41,0,0,0.09,40.0,40.0,0.75,0
417,12,0,1,0.025,10.0,10.0,0.0,0
418,19,0,1,0.0425,17.0,17.0,0.25,0
419,7,0,1,0.0125,5.0,5.0,0.0,0
420,21,0,1,0.0475,19.0,19.0,0.0,0
421,50,0,0,0.1225,49.0,49.0,0.75,0
422,10,0,1,0.02,8.0,8.0,0.0,0
423,24,1,0,0.06,24.0,24.0,1.0,1
424,58,0,0,0.1425,57.0,57.0,0.75,0
425,18,0,1,0.04,16.0,16.0,0.0,0
426,37,0,1,0.0875,35.0,35.0,0.75,0
427,20,0,1,0.045,18.0,18.0,0.25,0
428,26,0,0,0.0625,25.0,25.0,0.75,0
429,39,0,0,0.09,38.0,38.0,0.75,0
430,67,0,0,0.1575,66.0,66.0,0.75,0
431,34,0,1,0.08,32.0,32.0,0.25,0
432,26,0,1,0.06,24.0,24.0,0.25,0
433,10,0,1,0.02,8.0,8.0,0.0,0
434,3,0,1,0.0025,1.0,1.0,0.0,0
435,59,0,0,0.145,58.0,58.0,0.75,0
436,51,0,1,0.105,49.0,49.0,0.75,0
437,33,0,0,0.075,32.0,32.0,0.75,0
438,29,0,1,0.0675,27.0,27.0,0.25,0
