traverse_p_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
355,50,1,2,0.145,19.0,95.0,1.0,1
356,39,1,1,0.215,22.4,112.0,1.0,1
357,32,1,1,0.135,19.0,95.0,1.0,1
358,65,1,2,0.2025,26.4,132.0,1.0,1
359,32,0,3,0.075,18.0,90.0,0.0,0
360,103,1,2,0.26,37.6,188.0,1.0,1
361,13,0,3,0.0275,6.6,33.0,0.3333333333333333,0
362,29,0,3,0.0675,10.2,51.0,0.3333333333333333,0
363,43,1,1,0.1325,20.8,104.0,1.0,1
364,72,0,3,0.1725,24.0,120.0,0.6666666666666666,0
365,43,1,2,0.105,15.8,79.0,1.0,1
366,42,1,0,0.2025,25.2,126.0,1.0,1
367,24,0,3,0.0725,9.2,46.0,0.3333333333333333,0
368,65,0,3,0.1625,26.4,132.0,0.6666666666666666,0
369,35,1,1,0.1075,17.2,86.0,1.0,1
370,52,1,2,0.1475,18.4,92.0,1.0,1
371,87,1,2,0.2225,28.6,143.0,1.0,1
372,97,1,2,0.245,28.4,142.0,1.0,1
373,59,1,0,0.24,35.4,177.0,1.0,1
374,42,1,0,0.1475,25.2,126.0,1.0,1
375,62,0,3,0.175,18.4,92.0,0.6666666666666666,0
376,61,1,2,0.15,23.0,115.0,1.0,1
377,52,1,2,0.2375,27.0,135.0,1.0,1
378,46,0,3,0.15,20.4,102.0,0.3333333333333333,0
379,45,1,1,0.13,22.0,110.0,1.0,1
380,12,0,3,0.045,5.6,28.0,0.0,0
381,53,1,1,0.27,28.4,142.0,1.0,1
382,58,0,3,0.1975,30.0,150.0,0.6666666666666666,0
383,60,1,0,0.215,36.0,180.0,1.0,1
384,40,0,3,0.1525,18.4,92.0,0.3333333333333333,0
385,53,0,3,0.165,17.2,86.0,0.6666666666666666,0
386,39,0,3,0.0925,19.8,99.0,0.0,0
387,70,1,2,0.245,32.6,163.0,1.0,1
388,39,1,1,0.1675,21.8,109.0,1.0,1
389,26,0,3,0.065,11.4,57.0,0.6666666666666666,0
390,45,0,3,0.14,14.6,73.0,0.6666666666666666,0
391,43,1,0,0.245,25.8,129.0,1.0,1
392,59,1,2,0.16,23.8,119.0,1.0,1
393,52,0,3,0.0925,24.8,124.0,0.3333333333333333,0
394,40,0,3,0.095,18.0,90.0,0.3333333333333333,0
395,41,1,2,0.1225,19.6,98.0,1.0,1
396,36,1,2,0.09,14.8,74.0,1.0,1
397,66,1,1,0.215,32.4,162.0,1.0,1
