lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
390,24,0,1,0.055,22.0,22.0,0.2,0
391,8,0,1,0.015,6.0,6.0,0.0,0
392,17,0,1,0.0375,15.0,15.0,0.2,0
393,84,0,1,0.205,82.0,82.0,0.6,0
394,15,0,1,0.0325,13.0,13.0,0.0,0
395,44,0,1,0.105,42.0,42.0,0.4,0
396,75,1,0,0.185,75.0,75.0,1.0,1
397,16,0,1,0.035,14.0,14.0,0.2,0
398,18,0,1,0.04,16.0,16.0,0.2,0
399,67,1,0,0.1375,67.0,67.0,1.0,1
400,128,0,1,0.31,126.0,126.0,0.8,0
401,11,0,1,0.0225,9.0,9.0,0.2,0
402,9,0,1,0.0175,7.0,7.0,0.0,0
403,51,0,1,0.12,49.0,49.0,0.4,0
404,49,0,1,0.1175,47.0,47.0,0.4,0
405,23,0,1,0.0525,21.0,21.0,0.0,0
406,6,0,1,0.01,4.0,4.0,0.0,0
407,17,0,1,0.0375,15.0,15.0,0.2,0
408,41,0,1,0.0975,39.0,39.0,0.4,0
409,74,1,0,0.185,74.0,74.0,1.0,1
410,66,0,1,0.16,64.0,64.0,0.6,0
411,43,0,1,0.1025,41.0,41.0,0.6,0
412,76,1,0,0.1875,76.0,76.0,1.0,1
413,30,0,1,0.07,28.0,28.0,0.4,0
414,31,0,1,0.0725,29.0,29.0,0.2,0
415,32,0,1,0.0725,30.0,30.0,0.4,0
416,51,0,1,0.1225,49.0,49.0,0.4,0
417,23,0,1,0.0525,21.0,21.0,0.0,0
418,20,0,1,0.045,18.0,18.0,0.2,0
419,84,1,0,0.1675,84.0,84.0,1.0,1
420,15,0,1,0.0325,13.0,13.0,0.0,0
421,38,0,1,0.0875,36.0,36.0,0.4,0
422,53,0,1,0.1275,51.0,51.0,0.4,0
423,36,0,1,0.085,34.0,34.0,0.6,0
424,16,0,1,0.035,14.0,14.0,0.0,0
425,43,0,1,0.1025,41.0,41.0,0.2,0
426,19,0,1,0.0425,17.0,17.0,0.2,0
427,41,0,1,0.0975,39.0,39.0,0.4,0
428,37,0,1,0.0775,35.0,35.0,0.4,0
429,75,0,1,0.165,73.0,73.0,0.6,0
430,21,0,1,0.0475,19.0,19.0,0.0,0
431,9,0,1,0.0175,7.0,7.0,0.0,0
432,73,1,0,0.18,73.0,73.0,1.0,1
433,43,0,1,0.1025,41.0,41.0,0.2,0
434,73,0,1,0.1775,71.0,71.0,0.8,0
435,54,0,1,0.1225,52.0,52.0,0.8,0
436,52,1,0,0.13,52.0,52.0,1.0,1
437,29,0,1,0.0675,27.0,27.0,0.4,0
438,26,0,1,0.05,24.0,24.0,0.4,0
439,55,0,1,0.1325,53.0,53.0,0.8,0
440,87,1,0,0.2125,87.0,87.0,1.0,1
441,26,0,1,0.06,24.0,24.0,0.0,0
442,33,0,1,0.0775,31.0,31.0,0.6,0
443,28,0,1,0.065,26.0,26.0,0.0,0
444,79,1,0,0.175,79.0,79.0,1.0,1
445,17,0,1,0.0375,15.0,15.0,0.0,0
446,20,0,1,0.045,18.0,18.0,0.2,0
447,26,0,1,0.06,24.0,24.0,0.4,0
448,74,0,1,0.18,72.0,72.0,0.6,0
449,6,0,1,0.01,4.0,4.0,0.0,0
450,76,1,0,0.1875,76.0,76.0,1.0,1
451,4,0,1,0.005,2.0,2.0,0.0,0
452,66,1,0,0.165,66.0,66.0,1.0,1
453,18,0,1,0.04,16.0,16.0,0.0,0
454,43,0,1,0.1025,41.0,41.0,0.2,0
455,19,0,1,0.0425,17.0,17.0,0.0,0
456,23,0,1,0.0525,21.0,21.0,0.2,0
457,36,0,1,0.085,34.0,34.0,0.2,0
458,58,0,1,0.14,56.0,56.0,0.6,0
459,23,0,1,0.0525,21.0,21.0,0.0,0
460,9,0,1,0.0175,7.0,7.0,0.0,0
461,10,0,1,0.02,8.0,8.0,0.0,0
462,36,0,1,0.085,34.0,34.0,0.6,0
463,26,0,1,0.06,24.0,24.0,0.2,0
464,86,0,1,0.2,84.0,84.0,0.8,0
465,14,0,1,0.03,12.0,12.0,0.0,0
466,18,0,1,0.04,16.0,16.0,0.0,0
467,59,0,1,0.1425,57.0,57.0,0.8,0
468,49,0,1,0.1175,47.0,47.0,0.2,0
469,35,0,1,0.0825,33.0,33.0,0.2,0
470,73,1,0,0.18,73.0,73.0,1.0,1
471,26,0,1,0.06,24.0,24.0,0.0,0
472,61,0,1,0.1475,59.0,59.0,0.4,0
473,88,0,1,0.2125,86.0,86.0,0.8,0
474,58,0,1,0.1375,56.0,56.0,0.6,0
475,15,0,1,0.0325,13.0,13.0,0.2,0
476,51,0,1,0.12,49.0,49.0,0.4,0
477,29,0,1,0.0675,27.0,27.0,0.6,0
478,90,1,0,0.2075,90.0,90.0,1.0,1
479,48,0,1,0.115,46.0,46.0,0.4,0
480,68,0,1,0.1625,66.0,66.0,0.6,0
481,102,1,0,0.2025,102.0,102.0,1.0,1
482,46,0,1,0.11,44.0,44.0,0.8,0
483,69,0,1,0.1625,67.0,67.0,0.6,0
484,12,0,1,0.025,10.0,10.0,0.0,0
485,21,0,1,0.0475,19.0,19.0,0.0,0
486,62,0,1,0.1475,60.0,60.0,0.8,0
487,30,0,1,0.07,28.0,28.0,0.0,0
488,30,0,1,0.07,28.0,28.0,0.0,0
489,32,0,1,0.075,30.0,30.0,0.2,0
490,10,0,1,0.02,8.0,8.0,0.0,0
491,61,0,1,0.145,59.0,59.0,0.6,0
492,83,0,1,0.1775,81.0,81.0,0.6,0
493,48,1,0,0.115,48.0,48.0,1.0,1
494,11,0,1,0.0225,9.0,9.0,0.0,0
495,13,0,1,0.0275,11.0,11.0,0.0,0
496,54,0,1,0.1275,52.0,52.0,0.6,0
497,32,0,1,0.075,30.0,30.0,0.2,0
498,13,0,1,0.0275,11.0,11.0,0.0,0
499,16,0,1,0.035,14.0,14.0,0.0,0
500,10,0,1,0.02,8.0,8.0,0.0,0
501,17,0,1,0.0375,15.0,15.0,0.2,0
502,44,0,1,0.105,42.0,42.0,0.2,0
503,26,0,1,0.06,24.0,24.0,0.2,0
504,80,0,1,0.185,78.0,78.0,0.8,0
505,79,1,0,0.195,79.0,79.0,1.0,1
506,50,1,0,0.125,50.0,50.0,1.0,1
507,82,0,1,0.195,80.0,80.0,0.8,0
508,41,0,1,0.0975,39.0,39.0,0.4,0
509,15,0,1,0.0325,13.0,13.0,0.0,0
510,36,0,1,0.085,34.0,34.0,0.2,0
511,79,0,1,0.1825,77.0,77.0,0.6,0
512,49,0,1,0.1175,47.0,47.0,0.4,0
513,31,0,1,0.0725,29.0,29.0,0.4,0
514,47,1,0,0.1175,47.0,47.0,1.0,1
515,56,1,0,0.135,56.0,56.0,1.0,1
516,19,0,1,0.0425,17.0,17.0,0.0,0
517,63,1,0,0.155,63.0,63.0,1.0,1
