lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
274,84,1,8,0.2075,42.0,420.0,1.0,1
275,52,0,10,0.125,21.5,215.0,0.0,0
276,55,1,9,0.1375,27.1,271.0,1.0,1
277,99,1,9,0.245,43.8,438.0,1.0,1
278,67,1,8,0.1675,35.6,356.0,1.0,1
279,74,1,3,0.1775,62.1,621.0,1.0,1
280,29,0,10,0.0675,20.6,206.0,0.5,0
281,66,1,9,0.1625,15.5,155.0,1.0,1
282,51,1,4,0.125,43.7,437.0,1.0,1
283,56,1,8,0.14,28.6,286.0,1.0,1
284,57,0,10,0.1375,36.0,360.0,0.5,0
285,85,1,4,0.195,70.8,708.0,1.0,1
286,64,0,10,0.15,22.0,220.0,0.5,0
287,86,1,5,0.215,72.0,720.0,1.0,1
288,44,0,10,0.105,36.6,366.0,0.5,0
289,59,1,9,0.1475,21.4,214.0,1.0,1
290,31,1,5,0.0775,24.2,242.0,1.0,1
291,20,0,10,0.045,17.7,177.0,0.0,0
292,35,1,2,0.0875,33.3,333.0,1.0,1
293,29,1,3,0.0725,28.3,283.0,1.0,1
294,35,1,7,0.085,22.3,223.0,1.0,1
295,43,1,4,0.1075,34.8,348.0,1.0,1
296,36,1,7,0.09,22.0,220.0,1.0,1
297,75,1,8,0.1725,30.1,301.0,1.0,1
298,53,1,6,0.1325,44.0,440.0,1.0,1
299,55,1,8,0.1175,32.4,324.0,1.0,1
300,63,1,8,0.155,53.7,537.0,1.0,1
301,82,1,7,0.1975,53.2,532.0,1.0,1
