traverse_ordered_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
403,32,0,3,0.13,18.0,90.0,0.3333333333333333,0
404,48,0,3,0.15,21.0,105.0,0.3333333333333333,0
405,47,0,3,0.1675,14.4,72.0,0.6666666666666666,0
406,49,1,2,0.1225,17.0,85.0,1.0,1
407,52,0,3,0.16,17.8,89.0,0.3333333333333333,0
408,121,0,3,0.21,38.6,193.0,0.6666666666666666,0
409,22,0,3,0.05,10.4,52.0,0.3333333333333333,0
410,38,0,3,0.11,15.0,75.0,0.3333333333333333,0
411,39,0,3,0.0925,7.8,39.0,0.3333333333333333,0
412,41,1,1,0.18,21.4,107.0,1.0,1
413,70,1,2,0.215,27.2,136.0,1.0,1
414,34,0,3,0.0975,16.8,84.0,0.3333333333333333,0
415,104,1,2,0.1825,24.8,124.0,1.0,1
416,30,1,2,0.1125,12.4,62.0,1.0,1
417,24,0,3,0.0775,7.8,39.0,0.6666666666666666,0
418,57,1,2,0.1425,19.8,99.0,1.0,1
419,36,0,3,0.145,16.4,82.0,0.6666666666666666,0
420,57,1,2,0.1625,23.4,117.0,1.0,1
421,71,0,3,0.1725,15.0,75.0,0.6666666666666666,0
422,52,0,3,0.1975,16.6,83.0,0.0,0
423,36,0,3,0.085,17.4,87.0,0.6666666666666666,0
424,35,1,0,0.22,21.0,105.0,1.0,1
425,12,0,3,0.025,6.0,30.0,0.0,0
426,54,0,3,0.1725,16.2,81.0,0.6666666666666666,0
427,50,0,3,0.1675,22.2,111.0,0.6666666666666666,0
428,30,1,0,0.1475,18.0,90.0,1.0,1
429,33,0,3,0.0775,11.8,59.0,0.6666666666666666,0
430,73,0,3,0.1775,26.2,131.0,0.6666666666666666,0
431,47,0,3,0.1125,13.4,67.0,0.3333333333333333,0
432,73,1,2,0.25,31.0,155.0,1.0,1
433,47,1,0,0.1775,28.2,141.0,1.0,1
434,38,1,2,0.1275,20.2,101.0,1.0,1
435,59,0,3,0.1,19.4,97.0,0.6666666666666666,0
436,96,1,1,0.225,47.6,238.0,1.0,1
437,40,1,2,0.12,14.6,73.0,1.0,1
438,39,1,2,0.17,19.2,96.0,1.0,1
439,71,0,3,0.1575,20.2,101.0,0.6666666666666666,0
440,46,1,2,0.19,18.4,92.0,1.0,1
441,25,0,3,0.0725,7.6,38.0,0.3333333333333333,0
442,26,1,0,0.0925,15.6,78.0,1.0,1
443,43,1,0,0.2275,25.8,129.0,1.0,1
444,109,0,3,0.235,33.4,167.0,0.6666666666666666,0
445,28,0,3,0.065,11.2,56.0,0.3333333333333333,0
446,40,1,0,0.22,24.0,120.0,1.0,1
447,47,0,3,0.1225,14.2,71.0,0.6666666666666666,0
448,105,0,3,0.2025,30.2,151.0,0.6666666666666666,0
449,61,0,3,0.155,18.0,90.0,0.6666666666666666,0
450,27,0,3,0.0625,5.8,29.0,0.0,0
451,82,1,2,0.2025,17.6,88.0,1.0,1
452,39,1,1,0.13,21.6,108.0,1.0,1
453,55,0,3,0.245,21.6,108.0,0.6666666666666666,0
454,38,0,3,0.1075,17.2,86.0,0.3333333333333333,0
455,57,1,0,0.22,34.2,171.0,1.0,1
456,36,0,3,0.085,8.8,44.0,0.3333333333333333,0
457,27,0,3,0.0625,13.8,69.0,0.3333333333333333,0
458,28,1,1,0.115,14.6,73.0,1.0,1
459,80,1,2,0.2025,34.4,172.0,1.0,1
460,28,0,3,0.08,10.8,54.0,0.3333333333333333,0
461,56,1,2,0.1825,23.0,115.0,1.0,1
462,81,1,2,0.2025,30.6,153.0,1.0,1
463,48,1,0,0.205,28.8,144.0,1.0,1
464,5,0,3,0.0075,1.8,9.0,0.0,0
465,23,0,3,0.0525,12.6,63.0,0.0,0
466,47,0,3,0.1125,16.0,80.0,0.0,0
467,96,0,3,0.235,28.4,142.0,0.6666666666666666,0
468,35,0,3,0.0825,19.8,99.0,0.0,0
469,72,0,3,0.195,26.8,134.0,0.3333333333333333,0
470,52,1,1,0.1975,21.6,108.0,1.0,1
471,35,0,3,0.0725,11.8,59.0,0.6666666666666666,0
472,112,1,2,0.185,41.2,206.0,1.0,1
473,32,1,1,0.09,17.4,87.0,1.0,1
474,28,1,0,0.1225,16.8,84.0,1.0,1
475,57,0,3,0.1925,22.2,111.0,0.3333333333333333,0
476,44,1,1,0.18,22.6,113.0,1.0,1
477,44,1,2,0.1575,20.2,101.0,1.0,1
