407. Steps: 18, Found: True, Taken down:3 
408. Steps: 5, Found: True, Taken down:3 
409. Steps: 50, Found: True, Taken down:4 
410. Steps: 34, Found: True, Taken down:2 
411. Steps: 45, Found: True, Taken down:4 
412. Steps: 50, Found: True, Taken down:4 
413. Steps: 39, Found: True, Taken down:3 
414. Steps: 11, Found: True, Taken down:4 
415. Steps: 16, Found: True, Taken down:1 
416. Steps: 43, Found: False, Taken down:5 
417. Steps: 32, Found: True, Taken down:3 
418. Steps: 18, Found: False, Taken down:5 
419. Steps: 51, Found: True, Taken down:3 
420. Steps: 24, Found: True, Taken down:3 
421. Steps: 47, Found: True, Taken down:4 
422. Steps: 40, Found: True, Taken down:3 
423. Steps: 23, Found: True, Taken down:4 
424. Steps: 14, Found: True, Taken down:1 
425. Steps: 6, Found: True, Taken down:2 
426. Steps: 31, Found: False, Taken down:5 
427. Steps: 43, Found: True, Taken down:2 
428. Steps: 32, Found: True, Taken down:2 
429. Steps: 35, Found: True, Taken down:4 
430. Steps: 33, Found: True, Taken down:3 
431. Steps: 9, Found: True, Taken down:3 
432. Steps: 37, Found: True, Taken down:4 
433. Steps: 18, Found: False, Taken down:5 
434. Steps: 44, Found: True, Taken down:3 
435. Steps: 21, Found: False, Taken down:5 
436. Steps: 48, Found: True, Taken down:4 
437. Steps: 24, Found: True, Taken down:3 
438. Steps: 39, Found: True, Taken down:4 
439. Steps: 5, Found: True, Taken down:2 
440. Steps: 11, Found: True, Taken down:0 
441. Steps: 34, Found: True, Taken down:4 
442. Steps: 23, Found: True, Taken down:3 
443. Steps: 11, Found: True, Taken down:3 
444. Steps: 44, Found: True, Taken down:3 
445. Steps: 23, Found: False, Taken down:5 
446. Steps: 25, Found: True, Taken down:4 
447. Steps: 12, Found: True, Taken down:2 
448. Steps: 35, Found: True, Taken down:3 
449. Steps: 6, Found: True, Taken down:0 
450. Steps: 30, Found: True, Taken down:3 
451. Steps: 31, Found: True, Taken down:4 
452. Steps: 34, Found: False, Taken down:5 
453. Steps: 27, Found: True, Taken down:3 
454. Steps: 26, Found: True, Taken down:3 
455. Steps: 22, Found: True, Taken down:2 
456. Steps: 21, Found: True, Taken down:4 
457. Steps: 6, Found: True, Taken down:1 
458. Steps: 18, Found: True, Taken down:4 
459. Steps: 44, Found: True, Taken down:2 
460. Steps: 47, Found: True, Taken down:4 
461. Steps: 39, Found: True, Taken down:3 
462. Steps: 38, Found: False, Taken down:5 
463. Steps: 12, Found: True, Taken down:0 
464. Steps: 13, Found: True, Taken down:1 
465. Steps: 51, Found: True, Taken down:4 
466. Steps: 41, Found: False, Taken down:5 
467. Steps: 30, Found: True, Taken down:4 
468. Steps: 37, Found: True, Taken down:4 
469. Steps: 12, Found: True, Taken down:1 
470. Steps: 44, Found: True, Taken down:3 
471. Steps: 36, Found: True, Taken down:4 
472. Steps: 46, Found: True, Taken down:4 
473. Steps: 22, Found: True, Taken down:2 
474. Steps: 18, Found: True, Taken down:3 
475. Steps: 32, Found: False, Taken down:5 
476. Steps: 24, Found: False, Taken down:5 
477. Steps: 3, Found: True, Taken down:0 
478. Steps: 15, Found: True, Taken down:3 
479. Steps: 10, Found: True, Taken down:3 
480. Steps: 35, Found: True, Taken down:4 
481. Steps: 19, Found: True, Taken down:3 
482. Steps: 8, Found: True, Taken down:3 
483. Steps: 19, Found: True, Taken down:2 
484. Steps: 26, Found: True, Taken down:4 
485. Steps: 23, Found: False, Taken down:5 
486. Steps: 4, Found: True, Taken down:1 
487. Steps: 7, Found: True, Taken down:1 
488. Steps: 41, Found: False, Taken down:5 
489. Steps: 37, Found: True, Taken down:4 
490. Steps: 55, Found: True, Taken down:4 
491. Steps: 40, Found: True, Taken down:4 
492. Steps: 16, Found: True, Taken down:2 
493. Steps: 34, Found: True, Taken down:4 
494. Steps: 28, Found: False, Taken down:5 
495. Steps: 20, Found: True, Taken down:2 
496. Steps: 16, Found: True, Taken down:2 
497. Steps: 17, Found: True, Taken down:4 
498. Steps: 4, Found: True, Taken down:4 
499. Steps: 13, Found: True, Taken down:4 
500. Steps: 5, Found: True, Taken down:2 
501. Steps: 43, Found: True, Taken down:3 
502. Steps: 11, Found: True, Taken down:0 
503. Steps: 11, Found: True, Taken down:0 
504. Steps: 9, Found: True, Taken down:1 
505. Steps: 19, Found: True, Taken down:3 
506. Steps: 3, Found: True, Taken down:2 
507. Steps: 51, Found: True, Taken down:4 
508. Steps: 21, Found: True, Taken down:4 
509. Steps: 28, Found: True, Taken down:3 
510. Steps: 7, Found: True, Taken down:0 
511. Steps: 48, Found: False, Taken down:5 
512. Steps: 33, Found: True, Taken down:4 
513. Steps: 56, Found: False, Taken down:5 
514. Steps: 35, Found: False, Taken down:5 
515. Steps: 36, Found: True, Taken down:2 
516. Steps: 8, Found: True, Taken down:0 
517. Steps: 7, Found: True, Taken down:2 
518. Steps: 27, Found: True, Taken down:4 
519. Steps: 25, Found: True, Taken down:2 
520. Steps: 20, Found: True, Taken down:3 
521. Steps: 34, Found: False, Taken down:5 
522. Steps: 50, Found: True, Taken down:4 
523. Steps: 29, Found: True, Taken down:1 
524. Steps: 52, Found: True, Taken down:3 
525. Steps: 17, Found: True, Taken down:3 
526. Steps: 19, Found: True, Taken down:4 
527. Steps: 16, Found: True, Taken down:3 
528. Steps: 55, Found: True, Taken down:3 
529. Steps: 32, Found: True, Taken down:3 
530. Steps: 19, Found: True, Taken down:3 
531. Steps: 34, Found: True, Taken down:4 
532. Steps: 31, Found: True, Taken down:4 
533. Steps: 44, Found: True, Taken down:4 
534. Steps: 7, Found: True, Taken down:1 
535. Steps: 25, Found: True, Taken down:4 
536. Steps: 22, Found: True, Taken down:3 
537. Steps: 32, Found: True, Taken down:3 
538. Steps: 42, Found: False, Taken down:5 
539. Steps: 18, Found: True, Taken down:1 
540. Steps: 53, Found: False, Taken down:5 
541. Steps: 37, Found: False, Taken down:5 
542. Steps: 39, Found: False, Taken down:5 
543. Steps: 53, Found: False, Taken down:5 
544. Steps: 47, Found: True, Taken down:3 
545. Steps: 20, Found: True, Taken down:2 
546. Steps: 5, Found: True, Taken down:0 
547. Steps: 24, Found: True, Taken down:2 
548. Steps: 15, Found: False, Taken down:5 
549. Steps: 51, Found: True, Taken down:3 
550. Steps: 22, Found: False, Taken down:5 
551. Steps: 35, Found: True, Taken down:3 
552. Steps: 8, Found: True, Taken down:3 
553. Steps: 32, Found: False, Taken down:5 
554. Steps: 40, Found: True, Taken down:3 
555. Steps: 31, Found: True, Taken down:3 
