588. Steps: 7, Found: True, Taken down:1 
589. Steps: 14, Found: True, Taken down:0 
590. Steps: 6, Found: True, Taken down:0 
591. Steps: 16, Found: True, Taken down:1 
592. Steps: 7, Found: True, Taken down:0 
593. Steps: 5, Found: True, Taken down:0 
594. Steps: 12, Found: True, Taken down:0 
595. Steps: 13, Found: True, Taken down:1 
596. Steps: 7, Found: True, Taken down:1 
597. Steps: 20, Found: True, Taken down:0 
598. Steps: 12, Found: True, Taken down:1 
599. Steps: 25, Found: True, Taken down:0 
600. Steps: 17, Found: True, Taken down:0 
601. Steps: 1, Found: True, Taken down:0 
602. Steps: 1, Found: True, Taken down:0 
603. Steps: 0, Found: True, Taken down:1 
604. Steps: 11, Found: True, Taken down:0 
605. Steps: 10, Found: True, Taken down:0 
606. Steps: 12, Found: True, Taken down:0 
607. Steps: 7, Found: True, Taken down:1 
608. Steps: 3, Found: True, Taken down:0 
609. Steps: 5, Found: True, Taken down:0 
610. Steps: 12, Found: True, Taken down:0 
611. Steps: 7, Found: True, Taken down:0 
612. Steps: 1, Found: True, Taken down:0 
613. Steps: 1, Found: True, Taken down:0 
614. Steps: 9, Found: False, Taken down:2 
615. Steps: 11, Found: True, Taken down:0 
616. Steps: 4, Found: True, Taken down:0 
617. Steps: 11, Found: True, Taken down:1 
618. Steps: 2, Found: True, Taken down:0 
619. Steps: 5, Found: True, Taken down:0 
620. Steps: 13, Found: True, Taken down:0 
621. Steps: 17, Found: True, Taken down:1 
622. Steps: 7, Found: True, Taken down:0 
623. Steps: 7, Found: True, Taken down:0 
624. Steps: 19, Found: True, Taken down:1 
625. Steps: 9, Found: True, Taken down:1 
626. Steps: 8, Found: True, Taken down:1 
627. Steps: 11, Found: True, Taken down:0 
628. Steps: 11, Found: True, Taken down:0 
629. Steps: 11, Found: False, Taken down:2 
630. Steps: 12, Found: True, Taken down:0 
631. Steps: 10, Found: True, Taken down:0 
632. Steps: 11, Found: True, Taken down:0 
633. Steps: 21, Found: True, Taken down:1 
634. Steps: 15, Found: True, Taken down:0 
635. Steps: 8, Found: True, Taken down:1 
636. Steps: 10, Found: True, Taken down:0 
